"evidence_id","case_ids","case_titles","claim","source_id","source_title","source_url","source_type","publication_date","access_date","quotation_or_data","source_location","counterevidence","confidence","remaining_uncertainty","relationship"
"ev-deepseek-compute","case-deepseek-v3","DeepSeek-V3 on Nvidia H800","DeepSeek reports training a 671B-parameter MoE on 14.8 trillion tokens with 2.788 million H800 GPU-hours.","deepseek-v3-report","DeepSeek-V3 Technical Report","https://arxiv.org/abs/2412.19437","Technical preprint","2024-12-27","2026-09-03","“2.788M H800 GPU hours.”","Abstract; section 1; Table 1","The run and benchmarks are author-reported and have not been independently reproduced end to end.","High","The public report does not establish acquisition dates, electricity use, or total program cost.","supports"
"ev-deepseek-cost","case-deepseek-v3","DeepSeek-V3 on Nvidia H800","The widely repeated $5.576 million figure is a rental-equivalent training-compute estimate, not an all-in development cost.","deepseek-v3-report","DeepSeek-V3 Technical Report","https://arxiv.org/abs/2412.19437","Technical preprint","2024-12-27","2026-09-03","Prior research and ablation costs “are not included.”","Section 1, note immediately below Table 1","The narrow figure remains useful for comparing the disclosed final run if its scope is stated.","High","R&D, acquisition, depreciation, staff, data, networking, and failed-run costs are undisclosed.","qualifies"
"ev-deepseek-independent","case-deepseek-v3","DeepSeek-V3 on Nvidia H800","On METR’s autonomy suite, DeepSeek-V3 was comparable to Claude 3.5 Sonnet (Old), while trailing newer frontier models.","metr-deepseek-v3","Details about METR’s Preliminary Evaluation of DeepSeek-V3","https://evals.alignment.org/evaluations/deepseek-v3-report/","Independent evaluation","2025-02-12","2026-09-03","METR reported comparable autonomy performance to Claude 3.5 Sonnet (Old), with weaker results than newer frontier models.","Opening findings; General Autonomous Capabilities","METR used basic elicitation and warned that looping and other failures might understate or distort capability.","Moderate","Benchmark performance is task- and elicitation-dependent and does not establish frontier parity.","supports"
"ev-deepseek-dependency","case-deepseek-v3","DeepSeek-V3 on Nvidia H800","Nvidia identified H800 as a product covered by the October 2023 China licensing restrictions.","nvidia-2024-10k","NVIDIA Corporation Form 10-K for Fiscal 2024","https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm","Regulatory filing","2024-02-21","2026-09-03","Restrictions on H800 shipments took effect on 23 October 2023.","Item 1, Government Regulations—Global Trade","DeepSeek may have acquired its H800 fleet before the restriction took effect; acquisition timing is not public.","High","The size and provenance of DeepSeek’s remaining controlled-hardware inventory are unknown.","supports"
"ev-deepseek-repro","case-deepseek-v3","DeepSeek-V3 on Nvidia H800","The public repository enables inference and inspection of model weights but not reproduction of the full training run.","deepseek-v3-repository","DeepSeek-V3 Official Repository","https://github.com/deepseek-ai/DeepSeek-V3","Company repository","2024-12-26","2026-09-03","The release includes weights and inference examples for Nvidia, AMD, and Ascend.","Repository README, model downloads and inference sections","Open weights make broad deployment and independent downstream testing possible.","High","Training data, the full HAI-LLM stack, and exact full-run configuration are unavailable.","qualifies"
"ev-pangu-training","case-pangu-ultra","Pangu Ultra MoE on 6,000 Ascend NPUs","Huawei reports a 718B-parameter MoE run on 6,000 Ascend 910B NPUs and says its system supports all training stages.","pangu-ultra-paper","Pangu Ultra MoE: How to Train Your Big MoE on Ascend NPUs","https://arxiv.org/html/2505.04519","Technical preprint","2025-05-07","2026-09-03","“MFU of 30.0%” on 6,000 Ascend NPUs.","Paper abstract; sections 1 and 2.2","The run is vendor-reported and has no independent full-training audit or reproduction.","Moderate","Run duration, energy, capital cost, fleet availability, and yield are not disclosed.","supports"
"ev-pangu-codesign","case-pangu-ultra","Pangu Ultra MoE on 6,000 Ascend NPUs","The model and execution plan were reshaped around NPU constraints, with cumulative interventions raising reported throughput 58.7 percent.","pangu-ultra-paper","Pangu Ultra MoE: How to Train Your Big MoE on Ascend NPUs","https://arxiv.org/html/2505.04519","Technical preprint","2025-05-07","2026-09-03","6,000 NPUs; 30% MFU; hierarchical all-to-all; recomputation and host swapping.","Section 4.5, Table 5","Thirty percent MFU still implies substantial unused peak compute, and no comparable counterfactual run is public.","High","The incremental burden caused specifically by controls cannot be separated from normal large-model engineering.","qualifies"
"ev-pangu-weights","case-pangu-ultra","Pangu Ultra MoE on 6,000 Ascend NPUs","The official model card says Pangu Ultra was trained from scratch; the repository publishes roughly 1.47 TB of weights and documents a minimum 32-card Ascend serving setup.","pangu-ultra-repository","openPangu Ultra MoE 718B Model","https://huggingface.co/openpangu/openPangu-Ultra-MoE-718B-model","Company repository","","2026-09-03","62 weight shards; four Atlas 800T A2 nodes; 32 64GB cards.","Model card overview and sections 1, 4.1, and 4.4; file tree","Serving reproducibility does not reproduce pretraining or validate the disclosed training fleet.","High","The complete training corpus, code, and run configuration are not public.","supports"
"ev-pangu-upstream","case-pangu-ultra; case-cloudmatrix","Pangu Ultra MoE on 6,000 Ascend NPUs; CloudMatrix384 serving DeepSeek-R1","BIS assessed that listed Ascend 910-series chips likely involved U.S. design technology, software, or equipment subject to export rules.","bis-gp10-2025","Guidance on Application of General Prohibition 10 (GP10) to People’s Republic of China (PRC) Advanced-Computing Integrated Circuits (ICs)","https://www.bis.gov/media/documents/general-prohibition-10-guidance-may-13-2025.pdf","Government guidance","2025-05-13","2026-09-03","The illustrative list names Ascend 910B and 910C.","Pages 1–2, summary, illustrative list, and applicable regulations","This is an enforcement assessment, not a bill-of-materials audit of the Pangu fleet or CloudMatrix installation.","Moderate","The precise origin and legal status of each chip and upstream component are not public.","qualifies"
"ev-cloudmatrix-architecture","case-cloudmatrix","CloudMatrix384 serving DeepSeek-R1","CloudMatrix384 connects 384 Ascend NPUs and 192 Kunpeng CPUs through an all-to-all Unified Bus architecture.","cloudmatrix-paper","Serving Large Language Models on Huawei CloudMatrix384","https://arxiv.org/html/2506.12708v3","Technical preprint","2025-06-19","2026-09-03","384 NPUs, 192 CPUs, disaggregated prefill, decode, and caching.","Abstract; sections 3.2–3.4","The paper is authored by Huawei and SiliconFlow researchers and is not peer reviewed.","High","Public fleet volume and production availability outside the disclosed deployment are unknown.","supports"
"ev-cloudmatrix-performance","case-cloudmatrix","CloudMatrix384 serving DeepSeek-R1","The disclosed DeepSeek-R1 test achieved 1,943 decode tokens per second per NPU at 49.4 ms, below one profiled H800 result but above another published H800 baseline.","cloudmatrix-paper","Serving Large Language Models on Huawei CloudMatrix384","https://arxiv.org/html/2506.12708v3","Technical preprint","2025-06-19","2026-09-03","1,943 tokens/s/NPU at 49.4 ms; reported efficiency 1.29 tokens/s/TFLOPS.","Section 5.2, Tables 2–4","Tests used 256 of 384 NPUs; decode assumed a 70% MTP acceptance rate; batch sizes and implementations differed; and the highest prefill result assumed idealized expert load balancing.","Moderate","Like-for-like cost, power, reliability, and hardware-count comparisons are unavailable.","supports"
"ev-cloudmatrix-limits","case-cloudmatrix","CloudMatrix384 serving DeepSeek-R1","Tighter latency requirements sharply reduced reported per-NPU throughput, exposing the workload sensitivity of the comparison.","cloudmatrix-paper","Serving Large Language Models on Huawei CloudMatrix384","https://arxiv.org/html/2506.12708v3","Technical preprint","2025-06-19","2026-09-03","Throughput fell from 1,943 to 538 tokens/s/NPU as the target tightened from about 50 ms to 15 ms.","Section 5.2, Table 4","The system still met the stated tighter latency target and maintained useful throughput.","High","Real traffic mixes, uptime, and long-run service cost are not independently reported.","qualifies"
"ev-cloudmatrix-power","case-cloudmatrix","CloudMatrix384 serving DeepSeek-R1","A specialist estimate argues that matching a GB200 NVL72-class system requires substantially more Ascend devices, optical components, and power.","semianalysis-cloudmatrix","Huawei AI CloudMatrix 384: China’s Answer to Nvidia GB200 NVL72","https://newsletter.semianalysis.com/p/huawei-ai-cloudmatrix-384-chinas-answer-to-nvidia-gb200-nvl72","Specialist analysis","2025-04-16","2026-09-03","Estimated 4.1 times the system power of a GB200 NVL72.","Opening comparison; CloudMatrix 384 System Architecture","The estimate is not metered or audited, and the compared systems differ in chip count and configuration.","Low","No public independent energy, cooling, or total-cost measurement validates the exact multiplier.","qualifies"
